Year,Site,Transect,Rock,TranRock,Rock face,Oyster length
2004,E1,1,1A,1-1A,Top,
2004,E1,1,1A,1-1A,Side,
2004,E1,1,1A,1-1A,Bottom,
2004,E1,1,1B,1-1B,Top,
2004,E1,1,1B,1-1B,Side,
2004,E1,1,1B,1-1B,Bottom,
2004,E1,1,2A,1-2A,Top,50.7
2004,E1,1,2A,1-2A,Side,
2004,E1,1,2A,1-2A,Bottom,
2004,E1,1,2B,1-2B,Top,
2004,E1,1,2B,1-2B,Side,
2004,E1,1,3A,1-3A,Top,
2004,E1,1,3A,1-3A,Side,50.5
2004,E1,1,3A,1-3A,Bottom,
2004,E1,1,3B,1-3B,Top,
2004,E1,1,3B,1-3B,Side,
2004,E1,1,3B,1-3B,Bottom,
2004,E1,2,1A,2-1A,Top,
2004,E1,2,1A,2-1A,Side,
2004,E1,2,1A,2-1A,Bottom,
2004,E1,2,1B,2-1B,Top,
2004,E1,2,1B,2-1B,Side,
2004,E1,2,1B,2-1B,Bottom,
2004,E1,2,2A,2-2A,Top,
2004,E1,2,2A,2-2A,Side,
2004,E1,2,2A,2-2A,Bottom,41.2
2004,E1,2,2B,2-2B,Top,
2004,E1,2,2B,2-2B,Side,
2004,E1,2,2B,2-2B,Bottom,42.4
2004,E1,2,2B,2-2B,Bottom,45.3
2004,E1,2,2B,2-2B,Bottom,41.6
2004,E1,2,2B,2-2B,Bottom,40.4
2004,E1,2,3A,2-3A,Top,
2004,E1,2,3A,2-3A,Side,
2004,E1,2,3A,2-3A,Bottom,
2004,E1,2,3B,2-3B,Top,
2004,E1,2,3B,2-3B,Side,47.5
2004,E1,2,3B,2-3B,Side,40
2004,E1,2,3B,2-3B,Bottom,
2004,E1,3,1A,3-1A,Top,
2004,E1,3,1A,3-1A,Side,
2004,E1,3,1A,3-1A,Bottom,
2004,E1,3,1B,3-1B,Top,
2004,E1,3,1B,3-1B,Side,
2004,E1,3,1B,3-1B,Bottom,
2004,E1,3,2A,3-2A,Top,
2004,E1,3,2A,3-2A,Side,
2004,E1,3,2A,3-2A,Bottom,
2004,E1,3,2B,3-2B,Top,
2004,E1,3,2B,3-2B,Side,
2004,E1,3,2B,3-2B,Bottom,
2004,E1,3,3A,3-3A,Top,
2004,E1,3,3A,3-3A,Side,18.2
2004,E1,3,3A,3-3A,Bottom,31.3
2004,E1,3,3A,3-3A,Bottom,27
2004,E1,3,3B,3-3B,Top,
2004,E1,3,3B,3-3B,Side,
2004,E1,3,3B,3-3B,Bottom,
2004,E1,4,1A,4-1A,Top,
2004,E1,4,1A,4-1A,Side,
2004,E1,4,1A,4-1A,Bottom,
2004,E1,4,1B,4-1B,Top,
2004,E1,4,1B,4-1B,Side,
2004,E1,4,1B,4-1B,Bottom,
2004,E1,4,2A,4-2A,Top,
2004,E1,4,2A,4-2A,Side,
2004,E1,4,2A,4-2A,Bottom,
2004,E1,4,2B,4-2B,Top,
2004,E1,4,2B,4-2B,Side,
2004,E1,4,2B,4-2B,Bottom,44.5
2004,E1,4,3A,4-3A,Top,
2004,E1,4,3A,4-3A,Side,
2004,E1,4,3A,4-3A,Bottom,34.1
2004,E1,4,3B,4-3B,Top,
2004,E1,4,3B,4-3B,Side,
2004,E1,4,3B,4-3B,Bottom,
2004,E1,5,1A,5-1A,Top,
2004,E1,5,1A,5-1A,Side,
2004,E1,5,1B,5-1B,Top,
2004,E1,5,1B,5-1B,Side,
2004,E1,5,1B,5-1B,Bottom,
2004,E1,5,2A,5-2A,Top,
2004,E1,5,2A,5-2A,Side,
2004,E1,5,2B,5-2B,Top,
2004,E1,5,2B,5-2B,Side,
2004,E1,5,2B,5-2B,Bottom,
2004,E1,5,3A,5-3A,Top,
2004,E1,5,3A,5-3A,Side,
2004,E1,5,3A,5-3A,Bottom,
2004,E1,5,3B,5-3B,Top,32.8
2004,E1,5,3B,5-3B,Side,
2004,E1,5,3B,5-3B,Bottom,
2004,E1,6,1A,6-1A,Top,
2004,E1,6,1A,6-1A,Side,50.2
2004,E1,6,1A,6-1A,Bottom,
2004,E1,6,1B,6-1B,Top,
2004,E1,6,1B,6-1B,Side,
2004,E1,6,1B,6-1B,Bottom,
2004,E1,6,2A,6-2A,Top,
2004,E1,6,2A,6-2A,Side,
2004,E1,6,2A,6-2A,Bottom,
2004,E1,6,2B,6-2B,Top,
2004,E1,6,2B,6-2B,Side,
2004,E1,6,2B,6-2B,Bottom,
2004,E1,6,3A,6-3A,Top,
2004,E1,6,3A,6-3A,Side,
2004,E1,6,3A,6-3A,Bottom,61
2004,E1,6,3B,6-3B,Top,
2004,E1,6,3B,6-3B,Side,39.7
2004,E1,6,3B,6-3B,Bottom,
2004,E2,1,1A,1-1A,Top,
2004,E2,1,1A,1-1A,Side,45.6
2004,E2,1,1A,1-1A,Bottom,
2004,E2,1,1B,1-1B,Top,
2004,E2,1,1B,1-1B,Side,24.1
2004,E2,1,1B,1-1B,Bottom,
2004,E2,1,2A,1-2A,Top,
2004,E2,1,2A,1-2A,Side,
2004,E2,1,2A,1-2A,Bottom,
2004,E2,1,2B,1-2B,Top,
2004,E2,1,2B,1-2B,Side,
2004,E2,1,2B,1-2B,Bottom,48.5
2004,E2,1,3A,1-3A,Top,38.7
2004,E2,1,3A,1-3A,Side,35.7
2004,E2,1,3A,1-3A,Side,50.2
2004,E2,1,3A,1-3A,Bottom,
2004,E2,1,3B,1-3B,Top,
2004,E2,1,3B,1-3B,Side,
2004,E2,1,3B,1-3B,Bottom,
2004,E2,2,1A,2-1A,Top,35
2004,E2,2,1A,2-1A,Top,41.5
2004,E2,2,1A,2-1A,Side,
2004,E2,2,1B,2-1B,Side,45.1
2004,E2,2,1B,2-1B,Side,36.1
2004,E2,2,1B,2-1B,Side,33.1
2004,E2,2,1B,2-1B,Side,36.2
2004,E2,2,1B,2-1B,Side,57.2
2004,E2,2,1B,2-1B,Side,36.4
2004,E2,2,2A,2-2A,Top,
2004,E2,2,2A,2-2A,Side,48.3
2004,E2,2,2A,2-2A,Bottom,35
2004,E2,2,2B,2-2B,Top,
2004,E2,2,2B,2-2B,Side,
2004,E2,2,2B,2-2B,Bottom,
2004,E2,2,3A,2-3A,Top,
2004,E2,2,3A,2-3A,Side,
2004,E2,2,3A,2-3A,Bottom,
2004,E2,2,3B,2-3B,Top,38.5
2004,E2,2,3B,2-3B,Side,38.5
2004,E2,2,3B,2-3B,Side,43.1
2004,E2,2,3B,2-3B,Side,45.9
2004,E2,2,3B,2-3B,Side,30.4
2004,E2,2,3B,2-3B,Side,46
2004,E2,2,3B,2-3B,Bottom,44.1
2004,E2,3,1A,3-1A,Top,45
2004,E2,3,1A,3-1A,Top,38.3
2004,E2,3,1A,3-1A,Top,37
2004,E2,3,1A,3-1A,Top,44.7
2004,E2,3,1A,3-1A,Side,
2004,E2,3,1A,3-1A,Bottom,
2004,E2,3,1B,3-1B,Top,29.9
2004,E2,3,1B,3-1B,Side,52.4
2004,E2,3,1B,3-1B,Bottom,
2004,E2,3,2A,3-2A,Top,
2004,E2,3,2A,3-2A,Side,
2004,E2,3,2B,3-2B,Top,
2004,E2,3,2B,3-2B,Side,42
2004,E2,3,2B,3-2B,Side,38.1
2004,E2,3,2B,3-2B,Bottom,
2004,E2,3,3A,3-3A,Top,
2004,E2,3,3A,3-3A,Side,
2004,E2,3,3A,3-3A,Bottom,
2004,E2,3,3B,3-3B,Side,36.4
2004,E2,3,3B,3-3B,Side,41.8
2004,E2,3,3B,3-3B,Side,59.8
2004,E2,3,3B,3-3B,Bottom,45.1
2004,E2,3,3B,3-3B,Bottom,24.2
2004,E2,3,3B,3-3B,Bottom,12.2
2004,E2,4,1A,4-1A,Top,
2004,E2,4,1A,4-1A,Side,
2004,E2,4,1B,4-1B,Top,
2004,E2,4,1B,4-1B,Side,
2004,E2,4,1B,4-1B,Bottom,
2004,E2,4,2A,4-2A,Top,41.8
2004,E2,4,2A,4-2A,Top,30
2004,E2,4,2A,4-2A,Side,
2004,E2,4,2A,4-2A,Bottom,
2004,E2,4,2B,4-2B,Top,39.6
2004,E2,4,2B,4-2B,Side,45.6
2004,E2,4,2B,4-2B,Bottom,
2004,E2,4,3A,4-3A,Top,44
2004,E2,4,3A,4-3A,Side,47
2004,E2,4,3A,4-3A,Side,25.4
2004,E2,4,3A,4-3A,Bottom,51.5
2004,E2,4,3A,4-3A,Bottom,46.3
2004,E2,4,3B,4-3B,Top,
2004,E2,5,1A,5-1A,Top,44.8
2004,E2,5,1A,5-1A,Side,44.9
2004,E2,5,1A,5-1A,Side,42.8
2004,E2,5,1A,5-1A,Side,33.1
2004,E2,5,1A,5-1A,Bottom,25
2004,E2,5,1B,5-1B,Top,38.9
2004,E2,5,1B,5-1B,Top,48.2
2004,E2,5,1B,5-1B,Top,38.4
2004,E2,5,1B,5-1B,Side,38.3
2004,E2,5,1B,5-1B,Side,26.7
2004,E2,5,1B,5-1B,Side,15.4
2004,E2,5,1B,5-1B,Side,41.3
