site,year,month,site,age.months,avg.size,std.size
e1,2005,August,1,1,0.523055556,0.059687852
e1,2005,September,1,2,0.873571429,0.183
e1,2005,October,1,3,1.130625,0.306
e1,2005,November,1,4,1.6084,0.434
e1,2005,December,1,5,1.883333333,0.54
e1,2006,January,1,6,2.133478261,0.54
e1,2006,February,1,7,2.4935,0.52
e1,2006,March,1,8,2.708,0.65
e1,2006,April,1,9,2.906,0.6
e1,2006,May,1,10,3.62,0.68
e1,2006,June,1,11,4.2785,0.469
e1,2006,July,1,12,4.838,0.869
e1,2006,August,1,13,4.895263158,0.977
e1,2006,November,1,16,5.128,1.53
e1,2007,February,1,19,5.888421053,0.77
e1,2007,May,1,22,5.826111111,1.04
e1,2007,December,1,30,6.220666667,1.129
e2,2005,August,2,1,0.459473684,0.02
e2,2005,September,2,2,0.786304348,0.11
e2,2005,October,2,3,1.102894737,0.125
e2,2005,November,2,4,1.497352941,0.185
e2,2005,December,2,5,1.767058824,0.284
e2,2006,January,2,6,1.779142857,0.31
e2,2006,February,2,7,1.905277778,0.341
e2,2006,March,2,8,1.971470588,0.296
e2,2006,April,2,9,2.025263158,0.328
e2,2006,May,2,10,2.4495,0.318
e2,2006,June,2,11,2.988157895,0.477
e2,2006,July,2,12,3.607837838,0.411
e2,2006,August,2,13,3.724358974,0.4452
e2,2006,November,2,16,4.367241379,0.52
e2,2007,February,2,19,4.355172414,0.337
e2,2007,May,2,22,4.417826087,0.496
e2,2007,December,2,30,4.796,0.719
e3,2005,August,3,1,0.457142857,0.05
e3,2005,September,3,2,0.8966,0.111
e3,2005,October,3,3,1.215098039,0.192
e3,2005,November,3,4,1.714651163,0.25
e3,2005,December,3,5,2.026808511,0.304
e3,2006,January,3,6,2.169130435,0.346
e3,2006,February,3,7,2.368979592,0.347
e3,2006,March,3,8,2.475319149,0.346
e3,2006,April,3,9,2.58212766,0.363
e3,2006,May,3,10,2.935192308,0.371
e3,2006,June,3,11,3.361568627,0.309
e3,2006,July,3,12,3.785769231,0.443
e3,2006,August,3,13,3.885686275,0.337
e3,2006,November,3,16,4.284680851,0.715
e3,2007,February,3,19,4.392272727,0.745
e3,2007,May,3,22,4.163125,0.437
e3,2007,December,3,30,4.137777778,0.632
e4,2005,August,4,1,0.45875,0.0371
e4,2005,September,4,2,0.635714286,0.073
e4,2005,October,4,3,0.7355,0.0956
e4,2005,November,4,4,0.8646,0.153
e4,2005,December,4,5,1.0132,0.171
e4,2006,January,4,6,1.06106383,0.163
e4,2006,February,4,7,1.137954545,0.169
e4,2006,March,4,8,1.173636364,0.147
e4,2006,April,4,9,1.252222222,0.19
e4,2006,May,4,10,1.677333333,0.243
e4,2006,June,4,11,2.167317073,0.336
e4,2006,July,4,12,2.660263158,0.311
e4,2006,August,4,13,3.055142857,0.317
e4,2006,November,4,16,3.194545455,0.369
e4,2007,February,4,19,3.222666667,0.307
e4,2007,May,4,22,3.296428571,0.257
