Month,Year,Site,Distance,Rect
March,2006,E1,6,0
March,2006,E2,8,0
March,2006,E3,12,0
March,2006,E4,16,0
March,2006,W1,6,0
March,2006,W2,8,0
March,2006,W3,12,0
March,2006,W4,16,0
April,2006,E1,6,0
April,2006,E2,8,0
April,2006,E3,12,0
April,2006,E4,16,0
April,2006,W1,6,0
April,2006,W2,8,0
April,2006,W3,12,0
April,2006,W4,16,0
May,2006,E1,6,0
May,2006,E2,8,0
May,2006,E3,12,0
May,2006,E4,16,0
May,2006,W1,6,0
May,2006,W2,8,0
May,2006,W3,12,0
May,2006,W4,16,1
May,2006,W4,16,0
May,2006,W4,16,6
May,2006,W4,16,4
May,2006,W4,16,1
May,2006,W4,16,6
May,2006,W4,16,2
May,2006,W4,16,3
May,2006,W4,16,2
May,2006,W4,16,1
June,2006,E1,6,0
June,2006,E2,8,0
June,2006,E3,12,0
June,2006,E4,16,0
June,2006,W1,6,0
June,2006,W2,8,0
June,2006,W3,12,0
June,2006,W4,16,0
July,2006,E1,6,0
July,2006,E2,8,1
July,2006,E3,12,0
July,2006,E4,16,0
July,2006,W1,6,0
July,2006,W2,8,0
July,2006,W3,12,0
July,2006,W4,16,0
August,2006,E1,6,0
August,2006,E2,8,1
August,2006,E3,12,0
August,2006,E4,16,1
August,2006,E4,16,0
August,2006,E4,16,0
August,2006,E4,16,0
August,2006,E4,16,0
August,2006,E4,16,0
August,2006,E4,16,0
August,2006,E4,16,0
August,2006,E4,16,0
August,2006,E4,16,0
August,2006,E4,16,0
November,2006,E1,6,0
November,2006,E2,8,0
November,2006,E3,12,0
November,2006,E4,16,0
November,2006,W1,6,0
November,2006,W2,8,0
November,2006,W3,12,0
November,2006,W4,16,0
