Area,Site (MPA/ REF),Common Name,Month,Length (cm),Depth Released (ft),Year
PL,REF,Blue Rockfish,August,32,93,2007
PL,REF,Blue Rockfish,August,23,93,2007
PL,REF,Blue Rockfish,August,28,93,2007
PL,REF,Blue Rockfish,August,27,93,2007
PL,REF,Blue Rockfish,August,23,93,2007
PL,REF,Blue Rockfish,August,29,80,2007
PL,REF,Blue Rockfish,August,31,92,2007
PL,REF,Blue Rockfish,August,33,92,2007
PL,REF,Blue Rockfish,August,30,92,2007
PL,REF,Blue Rockfish,August,29,100,2007
PL,REF,Blue Rockfish,August,35,100,2007
PL,REF,Blue Rockfish,August,16,112,2007
PL,REF,Blue Rockfish,August,28,78,2007
PL,REF,Blue Rockfish,August,26,78,2007
PL,REF,Blue Rockfish,August,33,108,2007
PL,REF,Blue Rockfish,August,32,108,2007
PL,REF,Blue Rockfish,August,34,108,2007
PL,REF,Blue Rockfish,August,29,108,2007
PL,REF,Blue Rockfish,August,30,108,2007
PL,REF,Blue Rockfish,August,29,164,2007
PL,REF,Blue Rockfish,August,28,164,2007
PL,REF,Blue Rockfish,August,23,164,2007
PL,REF,Blue Rockfish,August,30,164,2007
PL,REF,Blue Rockfish,August,21,164,2007
PL,REF,Blue Rockfish,August,25,164,2007
PL,REF,Blue Rockfish,August,22,164,2007
PL,REF,Blue Rockfish,August,18,164,2007
PL,REF,Blue Rockfish,August,30,164,2007
PL,REF,Blue Rockfish,August,27,164,2007
PL,REF,Blue Rockfish,August,21,164,2007
PL,REF,Blue Rockfish,August,19,164,2007
PL,REF,Blue Rockfish,August,28,164,2007
PL,REF,Blue Rockfish,August,27,164,2007
PL,REF,Blue Rockfish,August,21,164,2007
PL,REF,Blue Rockfish,August,23,164,2007
PL,REF,Blue Rockfish,August,24,164,2007
PL,REF,Blue Rockfish,August,33,164,2007
PL,REF,Blue Rockfish,August,24,164,2007
PL,REF,Blue Rockfish,August,29,164,2007
PL,REF,Blue Rockfish,August,22,164,2007
PL,REF,Blue Rockfish,August,26,164,2007
PL,REF,Blue Rockfish,August,22,164,2007
PL,REF,Blue Rockfish,August,22,164,2007
PL,REF,Blue Rockfish,August,27,164,2007
PL,REF,Blue Rockfish,August,29,164,2007
PL,REF,Blue Rockfish,August,23,164,2007
PL,REF,Blue Rockfish,August,19,164,2007
PL,REF,Blue Rockfish,August,22,164,2007
PL,REF,Blue Rockfish,August,30,164,2007
PL,REF,Blue Rockfish,August,18,164,2007
PL,REF,Blue Rockfish,August,23,164,2007
PL,REF,Blue Rockfish,August,31,164,2007
PL,REF,Blue Rockfish,August,25,164,2007
PL,REF,Blue Rockfish,August,28,164,2007
PL,REF,Blue Rockfish,August,21,,2007
PL,REF,Blue Rockfish,August,19,,2007
PL,REF,Blue Rockfish,August,26,,2007
PL,REF,Blue Rockfish,August,32,,2007
PL,REF,Blue Rockfish,August,32,,2007
PL,REF,Blue Rockfish,August,31,,2007
PL,REF,Blue Rockfish,August,28,,2007
PL,REF,Blue Rockfish,August,30,,2007
PL,REF,Blue Rockfish,August,31,,2007
PL,REF,Blue Rockfish,August,30,,2007
PL,REF,Blue Rockfish,August,30,,2007
PL,REF,Blue Rockfish,August,23,,2007
PL,REF,Blue Rockfish,August,23,,2007
PL,REF,Blue Rockfish,August,30,70,2007
PL,REF,Blue Rockfish,August,29,70,2007
PL,REF,Blue Rockfish,August,29,70,2007
PL,REF,Blue Rockfish,August,18,70,2007
PL,REF,Blue Rockfish,August,18,70,2007
PL,REF,Blue Rockfish,August,24,70,2007
PL,REF,Blue Rockfish,August,32,70,2007
PL,REF,Blue Rockfish,August,29,70,2007
PL,REF,Blue Rockfish,August,33,80,2007
PL,REF,Blue Rockfish,August,33,80,2007
PL,REF,Blue Rockfish,August,23,80,2007
PL,REF,Blue Rockfish,August,23,80,2007
PL,REF,Blue Rockfish,August,28,80,2007
PL,REF,Blue Rockfish,August,27,80,2007
PL,REF,Blue Rockfish,August,38,80,2007
PL,REF,Blue Rockfish,August,34,80,2007
PL,REF,Blue Rockfish,August,30,80,2007
PL,REF,Blue Rockfish,August,19,114,2007
PL,REF,Blue Rockfish,August,29,140,2007
PL,REF,Blue Rockfish,August,27,140,2007
PL,REF,Blue Rockfish,August,25,140,2007
PL,REF,Blue Rockfish,August,31,140,2007
PL,REF,Blue Rockfish,August,27,140,2007
PL,REF,Blue Rockfish,August,29,140,2007
PL,REF,Blue Rockfish,August,25,140,2007
PL,REF,Blue Rockfish,August,27,140,2007
PL,REF,Blue Rockfish,August,28,140,2007
PL,REF,Blue Rockfish,August,26,140,2007
PL,REF,Blue Rockfish,August,26,140,2007
PL,REF,Blue Rockfish,August,31,140,2007
PL,REF,Blue Rockfish,August,26,140,2007
PL,REF,Blue Rockfish,August,24,91,2007
PL,REF,Blue Rockfish,August,23,91,2007
PL,REF,Blue Rockfish,August,21,91,2007
PL,REF,Blue Rockfish,August,23,91,2007
PL,REF,Blue Rockfish,August,18,91,2007
PL,REF,Blue Rockfish,August,26,91,2007
PL,REF,Blue Rockfish,August,33,85,2007
PL,REF,Blue Rockfish,August,29,85,2007
PL,REF,Blue Rockfish,August,29,85,2007
PL,REF,Blue Rockfish,August,25,85,2007
PL,REF,Blue Rockfish,August,31,85,2007
PL,REF,Blue Rockfish,August,27,85,2007
PL,REF,Blue Rockfish,August,35,85,2007
PL,REF,Blue Rockfish,August,30,85,2007
PL,REF,Blue Rockfish,August,26,85,2007
PL,REF,Blue Rockfish,August,36,85,2007
PL,REF,Blue Rockfish,August,19,85,2007
PL,REF,Blue Rockfish,August,25,85,2007
PL,REF,Blue Rockfish,August,32,85,2007
PL,REF,Blue Rockfish,August,30,85,2007
PL,REF,Blue Rockfish,August,24,85,2007
PL,REF,Blue Rockfish,August,18,85,2007
PL,REF,Blue Rockfish,August,21,85,2007
PL,REF,Blue Rockfish,August,19,85,2007
PL,REF,Blue Rockfish,August,19,85,2007
PL,REF,Blue Rockfish,August,25,85,2007
PL,REF,Blue Rockfish,August,36,85,2007
PL,REF,Blue Rockfish,August,35,85,2007
PL,REF,Blue Rockfish,August,29,85,2007
PL,REF,Blue Rockfish,August,21,85,2007
PL,REF,Blue Rockfish,August,22,85,2007
PL,REF,Blue Rockfish,August,27,90,2007
PL,REF,Blue Rockfish,August,22,90,2007
PL,REF,Blue Rockfish,August,24,90,2007
PL,REF,Blue Rockfish,August,27,78,2007
PL,REF,Blue Rockfish,August,24,78,2007
PL,REF,Blue Rockfish,August,19,78,2007
PL,REF,Blue Rockfish,August,26,78,2007
PL,REF,Blue Rockfish,August,33,78,2007
PL,REF,Blue Rockfish,August,23,78,2007
PL,REF,Blue Rockfish,August,28,78,2007
PL,REF,Blue Rockfish,August,30,78,2007
PL,REF,Blue Rockfish,August,28,78,2007
PL,REF,Blue Rockfish,August,32,85,2007
PL,REF,Blue Rockfish,August,27,85,2007
PL,REF,Blue Rockfish,August,20,85,2007
PL,REF,Blue Rockfish,August,29,85,2007
PL,REF,Blue Rockfish,August,29,85,2007
PL,REF,Blue Rockfish,August,25,85,2007
PL,REF,Blue Rockfish,August,23,85,2007
PL,REF,Blue Rockfish,August,30,85,2007
PL,REF,Blue Rockfish,August,27,85,2007
PL,REF,Blue Rockfish,August,23,85,2007
PL,REF,Blue Rockfish,August,23,85,2007
PL,REF,Blue Rockfish,August,22,85,2007
PL,REF,Blue Rockfish,August,26,85,2007
PL,REF,Blue Rockfish,August,24,85,2007
PL,REF,Blue Rockfish,August,23,85,2007
PL,REF,Blue Rockfish,August,29,85,2007
PL,REF,Blue Rockfish,August,34,85,2007
PL,REF,Blue Rockfish,August,27,85,2007
